Site,Planting,Genetics,Latitude,Longitude
Lat40_Lon-88,2046-05-01,mid3,40,-88
Lat40_Lon-88,2046-05-15,mid3,40,-88
Lat40_Lon-88,2046-05-29,mid3,40,-88
Lat40_Lon-88,2056-05-01,mid3,40,-88
Lat40_Lon-88,2056-05-15,mid3,40,-88
Lat40_Lon-88,2056-05-29,mid3,40,-88
Lat40_Lon-88,2066-05-01,mid3,40,-88
Lat40_Lon-88,2066-05-15,mid3,40,-88
Lat40_Lon-88,2066-05-29,mid3,40,-88
Lat40_Lon-88,2076-05-01,mid3,40,-88
Lat40_Lon-88,2076-05-15,mid3,40,-88
Lat40_Lon-88,2076-05-29,mid3,40,-88
Lat40_Lon-88,2086-05-01,mid3,40,-88
Lat40_Lon-88,2086-05-15,mid3,40,-88
Lat40_Lon-88,2086-05-29,mid3,40,-88
Lat40_Lon-88,2026-05-01,mid4,40,-88
Lat40_Lon-88,2026-05-15,mid4,40,-88
Lat40_Lon-88,2026-05-29,mid4,40,-88
Lat40_Lon-88,2036-05-01,mid4,40,-88
Lat40_Lon-88,2036-05-15,mid4,40,-88
Lat40_Lon-88,2036-05-29,mid4,40,-88
Lat40_Lon-88,2046-05-01,mid4,40,-88
Lat40_Lon-88,2046-05-15,mid4,40,-88
Lat40_Lon-88,2046-05-29,mid4,40,-88
Lat40_Lon-88,2056-05-01,mid4,40,-88
Lat40_Lon-88,2056-05-15,mid4,40,-88
Lat40_Lon-88,2056-05-29,mid4,40,-88
Lat40_Lon-88,2066-05-01,mid4,40,-88
Lat40_Lon-88,2066-05-15,mid4,40,-88
Lat40_Lon-88,2066-05-29,mid4,40,-88
Lat40_Lon-88,2076-05-01,mid4,40,-88
Lat40_Lon-88,2076-05-15,mid4,40,-88
Lat40_Lon-88,2076-05-29,mid4,40,-88
Lat40_Lon-88,2086-05-01,mid4,40,-88
Lat40_Lon-88,2086-05-15,mid4,40,-88
Lat40_Lon-88,2086-05-29,mid4,40,-88
